Cast-off Reconstruction Results:
High Percentile Faces(x) High Percentile Faces(y)             High Percentile Faces(z)
      29.000                   59.000                               63.000
      29.000                  237.000                              244.000
      30.000                   34.000                               64.000
      30.000                   34.000                              239.000
      30.000                   60.000                               64.000
      30.000                  234.000                              239.000
      31.000                   35.000                               65.000
      31.000                   35.000                              247.000
      31.000                   65.000                              123.000
      31.000                  123.000                              240.000
      31.000                  240.000                              247.000
      32.000                   66.000                              125.000
      32.000                   66.000                              160.000
      32.000                  124.000                              160.000
      32.000                  124.000                              243.000
      32.000                  125.000                              243.000
      33.000                   63.000                               67.000
      33.000                   67.000                              126.000
      33.000                  126.000                              250.000
      33.000                  244.000                              250.000
      34.000                   38.000                               68.000
      34.000                   38.000                              246.000
      34.000                   64.000                               68.000
      34.000                  239.000                              246.000
      35.000                   65.000                               69.000
      35.000                   69.000                              163.000
      35.000                  127.000                              163.000
      35.000                  127.000                              247.000
      36.000                   70.000                              125.000
      36.000                   70.000                              164.000
      36.000                  125.000                              243.000
      36.000                  128.000                              164.000
      36.000                  128.000                              249.000
      36.000                  243.000                              249.000
      37.000                   71.000                              126.000
      37.000                   71.000                              131.000
      37.000                  126.000                              250.000
      37.000                  131.000                              259.000
      37.000                  250.000                              259.000
      38.000                   40.000                               72.000
      38.000                   40.000                              253.000
      38.000                   68.000                               72.000
      38.000                  246.000                              253.000
      39.000                   41.000                               73.000
      39.000                   41.000                              263.000
      39.000                   73.000                              163.000
      39.000                  127.000                              163.000
      39.000                  127.000                              254.000
      39.000                  254.000                              263.000
      40.000                   72.000                               74.000
      40.000                   74.000                              132.000
      40.000                  132.000                              262.000
      40.000                  253.000                              262.000
      41.000                   73.000                               75.000
      41.000                   75.000                              169.000
      41.000                  133.000                              169.000
      41.000                  133.000                              263.000
      42.000                   44.000                               76.000
      42.000                   44.000                              270.000
      42.000                   76.000                              132.000
      42.000                   96.000                              270.000
      43.000                   77.000                              169.000
      43.000                   77.000                              170.000
      43.000                  133.000                              169.000
      43.000                  133.000                              271.000
      43.000                  134.000                              170.000
      43.000                  134.000                              271.000
      44.000                   76.000                               78.000
      44.000                   78.000                              137.000
      44.000                  137.000                              274.000
      44.000                  270.000                              274.000
      45.000                   79.000                              171.000
      45.000                   79.000                              174.000
      45.000                  135.000                              171.000
      45.000                  135.000                              275.000
      45.000                  138.000                              174.000
      45.000                  138.000                              275.000
      46.000                   80.000                              136.000
      46.000                   80.000                              142.000
      46.000                  106.000                              279.000
